new_id,ori_id,speaker,utterance
n_id.1,o_id.1,소위원장 김현숙,의석을 정돈해 주시기 바랍니다. 
n_id.2,o_id.1,소위원장 김현숙,성원이 되었으므로 제321회 국회(임시회) 여성가족위원회 제2차 법안심사소위원회를 개의합니다. 
n_id.3,o_id.1,소위원장 김현숙,오늘 회의는 지난 12월 13일 제1차 우리 소위원회에서 심사를 마치지 못한 법률안을 계속해서 심사하도록 하겠습니다. 
n_id.4,o_id.2,소위원장 김현숙,"의사일정 제1항 류지영 의원이 대표발의한 성매매방지 및 피해자보호 등에 관한 법률 일부개정법률안부터 의사일정 제10항 정부에서 제출한 성매매방지 및 피해자보호 등에 관한 법률 일부개정법률안까지, 이상 10건의 법률안을 일괄하여 상정합니다. "
n_id.5,o_id.2,소위원장 김현숙,수석전문위원 보고해 주시기 바랍니다. 
n_id.6,o_id.3,수석전문위원 이용원,"예, 배부해 드린 유인물 순서대로 보고를 드리겠습니다. "
n_id.7,o_id.3,수석전문위원 이용원,"먼저 성매매방지 및 피해자보호 등에 관한 법률 일부개정법률안 첫 번째 유인물 속에 류지영 의원님·전정희 의원님·김태원 의원님·남인순 의원님·정부제출안, 이것이 성매매 예방교육 관련한 사항들입니다. "
n_id.8,o_id.3,수석전문위원 이용원,첫 번째 유인물 3페이지를 봐 주시기 바랍니다. 3페이지에 각 의원님 법안의 내용을 간략하게 좀 비교를 해 보았습니다. 
n_id.9,o_id.3,수석전문위원 이용원,"류지영 의원님은 부실기관 특별조치에 대해서 또 언론 공표에 대해서, 전정희 의원님은 매년 1회 이상 예방교육을 실시하자는 내용, 김태원 의원님 안은 교육 실시 결과를 공개 의무화하자는 내용, 그다음에 정부안이 있고요. "
n_id.10,o_id.3,수석전문위원 이용원,"남인순 의원님 안이 가장 충실하게 지금 되어 있습니다. 지난번에 위원님들께서 의결해 주셨던 여발법 개정안의 내용과 거의 대동소이하게 충실하게 반영되어 있습니다. 예방교육 실시 주체 또 실시 결과 보고의 제출 의무 또 결과에 대한 점검, 부실기관에 대한 특별조치 또 기관평가 반영 요구, 교육 실시 결과 공개 의무 등의 내용을 담고 있다는 것을 보고드립니다. "
n_id.11,o_id.3,수석전문위원 이용원,"다음, 4페이지입니다. "
n_id.12,o_id.3,수석전문위원 이용원,"성매매 예방교육에 대해서 지금 칸이 좁아서 남인순 의원님 것까지 같이 비교는 못했습니다. 그다음에 남인순 의원님 것 나와 있어서, 우선 4페이지부터 간략하게 보고드리겠습니다. "
