new_id,ori_id,speaker,utterance,note
n_id.1,o_id.1,소위원장 심윤조,좌석을 정돈해 주시기 바랍니다. ,
n_id.2,o_id.1,소위원장 심윤조,성원이 되었으므로 제332회 국회(임시회) 외교통일위원회 제1차 법안심사소위를 개의하겠습니다.,
n_id.3,o_id.1,소위원장 심윤조,여러 가지로 바쁘신 가운데 회의에 참석해 주셔서 감사합니다. ,
n_id.4,o_id.1,소위원장 심윤조,"특히 오늘 회의부터 김세연 위원님께서 우리 소위원회 위원으로 활동하시게 되었습니다. 환영의 말씀을 드리고, 우리 위원회가 더욱 원활하게 운영될 수 있도록 적극적으로 활동해 주시기 바랍니다. ",
n_id.5,o_id.1,소위원장 심윤조,인사말씀 하시겠습니까? ,
n_id.6,o_id.2,김세연 위원,오늘 외통위 법안소위에 처음 참석하게 되었는데 외교 및 통일 분야에서 국회가 좀 더 건설적인 입법활동에 임할 수 있도록 미력이지만 최선을 다하겠습니다. ,
n_id.7,o_id.2,김세연 위원,감사합니다. ,
n_id.8,o_id.3,소위원장 심윤조,감사합니다. ,
n_id.9,o_id.4,소위원장 심윤조,"그러면 먼저 의사일정 제1항 남북협력기금법 일부개정법률안, 의사일정 제2항 남북교류협력에 관한 법률 일부개정법률안, 의사일정 제3항 군사정전에 관한 협정 체결 이후 납북피해자의 보상 및 지원에 관한 법률 일부개정법률안, 의사일정 제4항 제3국 거주 탈북아동 보호 및 조속한 국내 송환 촉구 결의안, 이상 4건을 일괄하여 상정합니다. ",
n_id.10,o_id.4,소위원장 심윤조,심사방법은 안건별로 전문위원의 설명과 정부 측의 의견을 들은 후 위원님들의 토론을 거쳐 결론을 내는 방법으로 진행하겠습니다.  ,
n_id.11,o_id.4,소위원장 심윤조,그러면 먼저 전문위원께서 의사일정 제1항 남북협력기금법 일부개정법률안에 대해 설명해 주시기 바랍니다. ,
n_id.12,o_id.5,전문위원 배용근,전문위원입니다.,
n_id.13,o_id.5,전문위원 배용근,"책상에 있는 소위자료의 연번 1번, 남북협력기금법 일부개정법률안, 김성곤 의원 대표발의입니다.",
n_id.14,o_id.5,전문위원 배용근,심사경과는 생략하겠습니다. ,
n_id.15,o_id.5,전문위원 배용근,주요 내용입니다.,
n_id.16,o_id.5,전문위원 배용근,남북협력기금의 용도로 통상적인 영업이익에 상당하는 손실에 대해서도 일정한 수준과 기한을 정하여 경협보험을 통한 보상이 이루어질 수 있도록 함으로써 개성공단 등에 투자한 남한기업의 안정적인 사업활동 기반을 조성하고 남북경협사업의 활성화를 도모하려는 것입니다. ,
n_id.17,o_id.5,전문위원 배용근,"대체토론은 본인의 귀책사유가 아닌 국가정책 문제로 장기간 영업 손실이 발생할 경우 경협보험제도를 바꾸어 국가가 일정 부분 부담할 필요가 있다는 김성곤 위원님의 질의와 개성공단 입주기업의 특수성을 고려하여 경협보험금 환수 시 연체요율 경감, 장기 저리, 분할 상환, 특별경영안정자금 대출 등 대책 마련이 필요하다는 김태호 위원님, 강창희 위원님의 질의가 있었습니다. ",
n_id.18,o_id.5,전문위원 배용근,"검토보고로는 기업들이 보험료를 부담하고 그 대가로 위험이 발생할 경우 손실을 보상받는 보험이라는 점에서 수용 여지가 있을 수 있겠으나 영업손실 산정의 구체화 가능성, 다른 정책보험 및 일반적인 해외투자기업과의 형평성, 개정안에 따른 정부의 재정부담 증가 여지 등을 종합적으로 고려하여 판단되어야 할 것이라는 검토보고가 있었습니다. ",
n_id.19,o_id.5,전문위원 배용근,이상입니다.,
n_id.20,o_id.6,소위원장 심윤조,동 안건에 대하여 정부 측 의견 말씀해 주시기 바랍니다. ,
n_id.21,o_id.7,통일부차관 황부기,말씀드리겠습니다. ,
n_id.22,o_id.7,통일부차관 황부기,리스크가 큰 북한에 대한 투자에 대해서 기업을 보호하려는 입법취지는 이해가 됩니다마는 교역·경협보험의 손실보상 범위에 통상적인 영업이익을 포함시키는 문제는 수용하기 어렵다는 점을 말씀드리겠습니다. ,
n_id.23,o_id.7,통일부차관 황부기,"왜 그러느냐 하면 첫째로 통상적인 영업이익은 개념이 모호합니다. 모호해 가지고 영업이익을 특정화·계량화하는 데 어려움이 있습니다. 있고, 실제 보험을 가입할 때 기 투자분에 대한 부분에 대해서는 계량화가 전혀 문제가 없습니다, 투자자산에 대해서. 그런데 영업이익이라는 것은 미래의 기대수익을 얘기합니다. 그래서 이 부분을 어떻게 할 거냐 하는 문제가 상당히 보험 가입 시부터 문제가 된다는 점을 말씀드리고.  ",
n_id.24,o_id.7,통일부차관 황부기,"그다음 두 번째로는 대외투자기업 지원을 위한, 제3국에 투자한 해외투자보험이 있습니다. 여기에도 보면 손실보상 범위에 영업이익은 포함하고 있지 않습니다. 그래서 만약 이렇게 개정하게 될 경우에 해외투자기업과의 형평성 문제 이런 부분도 발생한다는 점을 말씀드리겠습니다. ",
n_id.25,o_id.7,통일부차관 황부기,그리고 또 마지막으로 한 가지 말씀드릴 것은 경협보험을 저희들이 최초에 설계할 때 해외투자보험을 모델로 했습니다마는 대북사업의 특성을 감안해 가지고 상당히 우호적으로 설계했다는 점을 말씀드리겠습니다. ,
n_id.26,o_id.7,통일부차관 황부기,이상입니다.,
n_id.27,o_id.8,소위원장 심윤조,감사합니다. ,
n_id.28,o_id.8,소위원장 심윤조,다음에 위원님들 의견 있으면 말씀해 주시기 바랍니다. ,
n_id.29,o_id.9,김세연 위원,방금 정부 의견 들었습니다만 저도 몇 가지 우려사항을 말씀드렸으면 합니다. ,
n_id.30,o_id.9,김세연 위원,"남북관계의 특수성을 고려해서 이 같은 개정안이 발의된 그 취지는 십분 이해를 합니다. 불확실한 정치·경제 상황 속에서 장기적인 통일을 향한 발걸음을 딛는 우리 기업들의 안정적인 사업활동 기반을 도와 드리자 하는 이런 좋은 취지는 충분히 이해를 합니다만, 정부의 역할이 어디까지 미쳐야 하는지에 대한 고민이 필요할 것 같습니다.",
n_id.31,o_id.9,김세연 위원,"정부의 시장 개입이 최소화될수록 예측 가능한 그리고 정부의 과도한 권한에서 자유롭게 시장의 작동이 가능할 것이라고 봅니다. 그런 점에서 기업의 가장 본질적인 부분인 영업행위에 정부가 깊게 개입하는 결과가 될 수 있다 하는 점에서 기업이 리스크 부담, 불확실성하에서의 투자 결정을 하는 것은 그것이 남북관계든 해외투자든 정부 측 설명이 있었던 것처럼 공히 같은 기준이 필요하다고 볼 것이기 때문에, 이렇게 별도의 보험제도가 설계가 되어 있고 하기 때문에 여기에서 우리가 영업이익, 영업손실에 대해서 국가 차원에서 개입하는 것이 지금은 개별 기업들에 대해서 도움을 주는 것일 수 있지만 장기적으로는 가장 근본적인 정부 역할의 한계에 대한 경계선을 넘어서는 것이 될 것이라고 생각이 되어서......",
n_id.32,o_id.9,김세연 위원,"차라리 대안을 찾자면 이것이 정부가 할 일은 아닐 수 있겠고, 보험상품을 설계할 때 위험 수준이 더 높다면 이것은 계약 당사자로서 기업이 좀 더 높은 보험요율을 부담하면서 어떤 위험이 현실화되었을 때 보상받을 수 있는 수준을 더 높인다든가 다른 방식의 접근도 가능할 것이기 때문에 신중한 검토가 필요하다고 생각합니다. ",
n_id.33,o_id.9,김세연 위원,이상입니다. ,
n_id.34,o_id.10,소위원장 심윤조,감사합니다. ,
n_id.35,o_id.11,심재권 위원,오늘 이 자리에 김성곤 의원께서 오셨더라면 제안설명을 더 잘 해 주셨으리라고 생각합니다만 출장 관계로 오늘 참석치 못했습니다. ,
n_id.36,o_id.11,심재권 위원,저는 좀 의견을 달리합니다. ,
n_id.37,o_id.11,심재권 위원,이 법안이 요청하고 있는 것은 기업의 경영 외적인 사유로 인해서 정상적인 영업이 침해받게 되었을 때 그랬을 때 보험 또는 국가에서 일정한 부분을 함께 해 주어야 한다라는 그런 취지인 겁니다. 바로 경영 외적인 사유라는 게 중요한 부분입니다. ,
n_id.38,o_id.11,심재권 위원,"이것은 해외투자하고도 또 다릅니다. 남북관계라는 게 특수관계다라는 것 모두가 다 잘 알고 있고 따라서 어떤 남북사업에 대한 투자는 그만큼의 위험부담을 안고 시작합니다. 우리 기업인들도 잘 알고 있어요. 문제는 정부에서 '이러이러한 위험이 올 수 있고 그럴 때 우리 정부로서는, 우리 보험으로서는 어떤 것도 해 줄 수 없다'라고 적시하지 않고 그리고 기업인들에게 또 일반 국민들에게 이렇게 투자하는 기회가 왔고 남북관계 발전에도 기여할 수 있고 등등의 이야기를 하는 것입니다. 그래서 참여케 하는 것입니다. ",
n_id.39,o_id.11,심재권 위원,"따라서 저는 그동안에 금강산관광 중단 문제라든가 또는 5·24 조치라든가 등으로 해서 우리 기업인들이 많은 피해를 입고 있는데, 이건 뭐 필설로 다 형언할 수 없을 만큼 패가망신에 이르는, 심지어는 극단적인 선택까지도 염두에 두는 이런 경우들을 주변에서 보고 있습니다. ",
n_id.40,o_id.11,심재권 위원,"그런데 이런 상황이 발생했을 때 남북경협기금은 뭐에 쓰는 것이고, 천문학적인 불용액이 매해 되풀이되고 있는데 그런 기금은 어디에 쓰는 것이며, 이렇게 책임을 투자 기업만의 것으로 돌리는 것은 저는 옳지 않다고 생각합니다. ",
n_id.41,o_id.11,심재권 위원,"여기에서 늘 하는 이야기가 영업수익 산정이 어렵다라든가, 무슨 다른 보험상품과의 형평성의 문제라든가 이런 말들을 합니다. 그런데 저는 참 옳지 않다고 생각합니다. 이게 지금 같은 사안이, 같은 사례가 아니지 않습니까? 그런데 형평성을 논할 게 따로 있고 또 기업의 책임을 물을 부분이 따로 있는 것이지, 전혀 기업의 문제가 아닌 그것이 몇 년씩 방치되면서 새롭게 어려움을 주고 있는데 방치한다는 것은 저는 있을 수 없다고 생각합니다. ",
n_id.42,o_id.11,심재권 위원,또 우리가 만약에 이런 보상이라든가 보완 조치를 취하지 못할 것 같으면 보다 더 엄격한 투자 상황 설명이라든가 또는 투자에 있을 수 있는 문제들에 대한 사전고지 거기에 대한 동의 이런 것을 받고 시작해야 된다고 봅니다. ,
n_id.43,o_id.11,심재권 위원,"어쨌든 간에 대체토론에서도 대체로 여야 위원님들이 '남북경협이 갖는 특수성을 생각해서 기업의 경영 외적인 사유로 문제가 발생했을 때 여기에는 적절한 최소한의 지원이 있어야 한다' 이런 취지의 말씀들을 하셨는데, 저는 이제 정부의 의견은 더 들을 것도 없다고 생각합니다. 정부의 의견은 똑같습니다. 언제나 조금 전에 말씀드린 대로 그렇게 영업손실 산정이 구체적으로 어렵다라든가 타 보험과의 형평성 문제라든가 저는 정부의 의견은 더 이상 우리가 참고할 여지가 없고, 어쨌든 우리 위원회에서 잘 검토해서 우리 위원회 의견을 가져야 된다고 보고, 저는 그 점에 있어서 김성곤 의원의 이 법안은 참으로 시의적절한 그런 제안이다 이렇게 생각을 합니다. ",
n_id.44,o_id.12,소위원장 심윤조,감사합니다. ,
n_id.45,o_id.12,소위원장 심윤조,김성곤 의원께서 참석하지 않아서 제가 김성곤 의원이 만든 자료 요지를 간단하게 설명을 드리고 여기에 대해서 전문위원과 정부 측이 검토를 할 필요가 있다고 생각을 하니까 한번 검토해 주시기 바랍니다.,
n_id.46,o_id.12,소위원장 심윤조,굉장히 장문의 의견서를 내놨는데 제가 보니까 검토할 것은 딱 두 개인 것 같아요.,
n_id.47,o_id.12,소위원장 심윤조,하나는 통상적인 영업이익의 산정이 어렵다고 하는데 그것은 세무당국에 신고된 전년도분 결산신고를 근거로 할 수 있지 않느냐 하는 의견이 하나 있고요.,
n_id.48,o_id.12,소위원장 심윤조,그다음에 두 번째는 정부 측의 부담이 지나치게 크다면 적어도 개성공단 입주 기업의 개성공단 관련 임직원들의 임금에 한하여 보상하는 방안 이러면 정부의 부담이 최소화되지 않겠느냐 하는 대안을 설명하고 있어요.,
n_id.49,o_id.12,소위원장 심윤조,"그러니까 통상적인 영업이익을 그냥 임의로 하는 것이 아니고 전년도분 결산신고 이것을 통상적인 영업이익으로 하고, 그다음에 보험에 부담하는 범주를 개성공단 입주 기업이 개성공단과 관련해서 채용하고 있는 임직원들의 임금에 한해서 보상하는 것은 어떻겠느냐 하는 것입니다. ",
n_id.50,o_id.12,소위원장 심윤조,그래서 이 두 가지를 전문위원과 정부 측에서 추가로 검토를 해서 다음 법안소위에 이것을 검토했으면 합니다. ,
n_id.51,o_id.12,소위원장 심윤조,거기에 대해서 다른 이견 있으십니까? ,
n_id.52,o_id.12,소위원장 심윤조,김세연 위원님!,
n_id.53,o_id.13,김세연 위원,한 말씀만 드리겠습니다. ,
n_id.54,o_id.13,김세연 위원,"앞서 의견 말씀드린 바와 같이 영업이익이라는 것이 똑같은 품목의, 똑같은 시장의, 똑같은 고객을 대상으로 해도 경영진의 능력 또 기업의 경쟁력 같은 내재적인 요인에 의해서 전혀 상반된 결과가 나올 수 있는 기업 본질에 해당하는 면이기 때문에 저는 영업이익에 대해서, 우리가 지원의 기준을 영업이익으로 하는 것은 원칙에서 너무나 많이 벗어난다 이런 생각을 합니다. ",
n_id.55,o_id.13,김세연 위원,다만 대안으로 제시되어 있는 개성공단 관련된 비용의 일부에 대해서 정부가 보조금의 성격 의미를 담아서 일정 부분 경감하는 이 정도의 대안은 상대적으로 합리적인 방안이 될 수 있다고 생각을 합니다. ,
n_id.56,o_id.14,소위원장 심윤조,지금 김세연 위원님의 발언 내용까지 포함을 해서 추가검토를 해서......,
n_id.57,o_id.15,심재권 위원,저......,
n_id.58,o_id.16,소위원장 심윤조,"예, 말씀하십시오.",
n_id.59,o_id.17,심재권 위원,추가검토해서 다음 회의에 보고해 달라는 위원장님 말씀에 동의합니다. ,
n_id.60,o_id.17,심재권 위원,"영업이익 산정 부분에 있어서 저는 김세연 위원님 말씀이 다 옳다고 생각합니다. 경영자의 역량에 따라서, 당시의 경영 여건에 따라서 얼마든지 바뀔 수 있다고 생각합니다. ",
n_id.61,o_id.17,심재권 위원,다만 문제는 이 경우에 있어서 우리가 영업상의 손실 문제를 이야기할 때는 특수 상황입니다. 그야말로 영업 외적인 사유로 발생한 문제들에 대한 그런 대처를 이야기하고 있는 겁니다. 그렇기 때문에 전년도 기업 영업 상태에 따른 영업 손실을 산정한다는 것은 저는 충분히 타당할 수 있다 이렇게 생각을 합니다. ,
n_id.62,o_id.17,심재권 위원,어쨌든 다음에 다시 검토보고를 받고 논의하는 데 동의합니다. ,
