new_id,ori_id,speaker,utterance
n_id.1,o_id.1,조정위원장 홍익표,의석을 정돈해 주시기 바랍니다. 
n_id.2,o_id.1,조정위원장 홍익표,성원이 되었으므로 제371회 국회(정기회) 제2차 안건조정위원회를 개의하겠습니다.
n_id.3,o_id.1,조정위원장 홍익표,우리 위원회는 지난 6월 26일 구성되어 오늘이 90일이 되는 날로 그 활동기한 만료일입니다. 오늘 회의는 이러한 점을 감안하여 개의하게 되었다는 것을 우선 말씀드립니다.
n_id.4,o_id.2,조정위원장 홍익표,그러면 의사일정 제1항부터 제26항까지 이상 26건의 소방공무원법 전부개정법률안 등을 일괄하여 상정합니다. 
n_id.5,o_id.2,조정위원장 홍익표,이 안건들은 지난 9월 6일 제1차 회의에서 한 차례 심사한 바 있습니다. 
n_id.6,o_id.2,조정위원장 홍익표,"제1차 회의 심사를 통해 소방공무원의 국가직화 관련 법안에 대해서는 조정안에 관한 의견 접근이 있었고, 진실·화해를 위한 과거사정리 기본법 일부개정안, 공무원직장협의회의 설립·운영에 관한 법률 일부개정안 등에 대해서는 위원님들 간에 일부 이견이 있었습니다. 그리고 의결과 관련해서는 조정안을 마련할 수 있는 안건을 우선 처리하자는 의견과 다른 안건들과 함께 의결하자는 의견 등 차이가 있었습니다. 이에 따라 지난 9월 6일에는 이에 대한 결정을 보류한 바 있습니다. "
n_id.7,o_id.2,조정위원장 홍익표,오늘 회의에서는 지난 회의에서 위원님들 간에 일부 이견이 있었던 안건에 대한 조정 논의와 조정안의 의결 방법 등에 대해 위원님들 간의 논의를 통해 의견을 모으도록 하겠습니다.
n_id.8,o_id.2,조정위원장 홍익표,지난 회의에서 논의된 주요 내용은 배부된 자료를 봐 주시기 바랍니다. 
n_id.9,o_id.2,조정위원장 홍익표,그러면 의견이 있으신 위원님들 말씀해 주시기 바랍니다. 
n_id.10,o_id.3,윤재옥 위원,의사진행발언.
n_id.11,o_id.4,조정위원장 홍익표,예.
n_id.12,o_id.5,윤재옥 위원,오늘 언론 취재는 그냥 스케치하고 빼는 것으로 하는 게 좋겠습니다. 지난번에는 취재를 아예 안 했고요. 
n_id.13,o_id.6,조정위원장 홍익표,다른 위원님들 이의 없으십니까? 
n_id.14,o_id.6,조정위원장 홍익표,알겠습니다.
n_id.15,o_id.6,조정위원장 홍익표,위원님들 간에 논의가 있었으니까 언론인 여러분들......
n_id.16,o_id.7,입법조사관 정연수,협조 좀 부탁드리겠습니다. 
n_id.17,o_id.8,권은희 위원,카메라는 나가는데 펜기자들도 나가나요?
n_id.18,o_id.9,윤재옥 위원,나가야지요.
n_id.19,o_id.10,조정위원장 홍익표,"아니, 원칙적으로 공개를 하는데, 그래서 위원님들한테 의견을 여쭤본 겁니다. 위원님들 의견이......"
n_id.20,o_id.11,이채익 위원,언론인들은 전부 다 좀 나가게......
n_id.21,o_id.12,윤재옥 위원,"언론인들 없습니까, 아무도? "
n_id.22,o_id.13,이채익 위원,여기에 언론인들 없어요?  
n_id.23,o_id.14,수석전문위원 조의섭,예.
n_id.24,o_id.15,조정위원장 홍익표,현재로서는 소방법 관련돼서 추가적인 논의가 더 필요하지 않은 것으로 지난번에 다 됐고요. 그래서 두 번째 사안인 과거사법과 세 번째 사안인 공무원직장협의회에 관련된 내용을 갖고 지금 논의를 해야 될 것 같습니다. 
n_id.25,o_id.16,이채익 위원,제가 한 말씀만......
n_id.26,o_id.17,조정위원장 홍익표,예.
n_id.27,o_id.18,이채익 위원,이채익 국회의원입니다.
n_id.28,o_id.18,이채익 위원,저는 오늘 안건조정위원회가 뭔가 결실을 좀 맺어야 된다고 생각합니다. 그 결실 중에 소방공무원 국가직 전환 문제는 오늘 회의에서 좀 결론을 냈으면 좋겠습니다. 
n_id.29,o_id.18,이채익 위원,특히 저희 당은 2009년부터 소방공무원 국가직 전환 노력을 선도적으로 해 온 만큼 국가직 전환에는 전연 다른 의견이 없다는 부분을 분명히 말씀드립니다. 
n_id.30,o_id.18,이채익 위원,지난 9월 6일 안건조정위원회 심사를 통해서 소방공무원 국가직화 법안 대안의 대부분을 수용하였습니다. 소방안전교부세율의 인상폭이 적어 새롭게 충원되는 소방인력과 소방설비 개선을 위한 예산을 마련하는 데 어려움이 있을 수도 있지만 많은 공무원들과 국민들께서 국가직 전환을 염원하고 있는 만큼 저희들은 정부를 믿고 일정 부분 부족하지만 법안에 합의한다는 말씀을 했습니다. 
n_id.31,o_id.18,이채익 위원,당장 합의한 대로 소방공무원 국가직 전환이 2020년 1월 1일부터 될 수 있도록 하려면 오늘 국가직 전환 법안을 안건조정위원회에서 통과시켜야 된다고 생각합니다. 그래서 이 부분을 좀 말씀드리고. 
n_id.32,o_id.18,이채익 위원,공무원직장협의회의 설립·운영에 관한 법률과 과거사법 이 부분은 아직 여야 간에 합의를 완전히 이루지 못한 부분이기 때문에 이 부분은 일단 보류를 하는 쪽으로 오늘 회의를 진행했으면 좋겠다는 말씀을 드립니다. 
n_id.33,o_id.19,조정위원장 홍익표,다른 분들 의견 주시지요. 
n_id.34,o_id.19,조정위원장 홍익표,"권은희 위원님, 의견 없으세요? "
n_id.35,o_id.20,권은희 위원,"존경하는 이채익 위원님이 말씀하신 바와 같이 소방공무원법은 합의가 이루어졌고, 진화위법하고 공무원직장협의회법은 안건조정위원회에서 합의가 이루어지지는 않았지만 이게 법안심사소위에서 의결된 그런 개정안들이기 때문에 심사의 내용과 정도는 이미 충분하게 이루어졌다라고 생각을 합니다. 그래서 오늘 안건조정위원회에서 이 조정위에 상정된 3건의 법률안에 대해서 일괄하여 의결할 것을 의사진행으로 요청합니다. "
n_id.36,o_id.21,조정위원장 홍익표,김민기 위원님.
n_id.37,o_id.22,김민기 위원,"오늘이 안건조정위원회 마지막 날입니다. 그렇기 때문에 여기서 조정이 안 된다 하더라도 전체회의로 가서 또 표결을 해야 되고 그런 절차가 있습니다. 그렇다면 오늘 이 자리에서, 3건을 일괄적으로 다 안건조정위원회에서 의결을 해서 전체회의로 보내는 게 좋다 이렇게 생각을 합니다. "
n_id.38,o_id.23,조정위원장 홍익표,"윤재옥 위원님 말씀하시고요, 위원님들 의견을 다 말씀해 주십시오."
n_id.39,o_id.24,윤재옥 위원,저는 이채익 위원님하고 생각이 같습니다.
n_id.40,o_id.24,윤재옥 위원,같은데 사실은 이 법안이 소위를 통과하는 과정 자체가 원만한 그런 과정은 아니었습니다. 그래서 정말 상임위에서 전례가 없는 그런 과정을 거쳐서 이 안건조정위원회에까지 이렇게 회부가 되는 불미스러운 일이 발생한 겁니다. 
n_id.41,o_id.24,윤재옥 위원,그래서 시점에서도 충분히 간사 간의 협의를 통해서 소방직 국가직화 문제는 타협이 가능한 그런 사항이었습니다. 그럼에도 불구하고 또 거기에 과거사 관련 법이라든지 직협회 관련 몇 가지 이렇게 부가해서 제1야당이 참여하지 않는 가운데 이 법을 소위에서 통과시키는 그런 일이 발생했습니다. 
n_id.42,o_id.24,윤재옥 위원,"그래서 소방직 국가직화 문제는 여야 간에 이견이 조정됐으므로 오늘 의결을 하고, 나머지는 소위에서 통과됐다 하더라도 또 우리가 서로 충분히 논의를 해서 간사 간에 전체회의에 상정하지 않고 좀 조정할 것은 조정하고 그렇게 처리하는 것이 상임위의 원형을 위해서도 바람직하고 또 이런 합의 과정 없이 처리되는 전례가 앞으로 발생하지 않도록 한다는 취지에서도 그게 훨씬 더 바람직해 보입니다. 그런 관점에서 오늘 안건조정위원회가 진행이 되었으면 좋겠습니다. "
n_id.43,o_id.25,조정위원장 홍익표,"이재정 위원님, 말씀 있으세요? "
n_id.44,o_id.26,이재정 위원,"안건조정위에서 최소한의 합의를 통해서 관련된 논의가 숙성이 된다면 이 내용들이 소위에서 통과되었다는 점을 감안해서 의결을 해서 가는 것이 가장 좋겠지만 그런 상황이 되지 않는다면, 안건조정위의 사실상 역할 자체가 저는 표결로라도 의결을 해야 하는 것이 절차에 마땅한 일인 것 같습니다. 저는 아직도 시간이 있다면 이 지점들에 대한 여론, 국민 요구와 그다음에 소위를 이미 통과했다는 상황이 주는 시사점 등등을 감안해서 될 수 있는 한 표결에 이르지 않고 본 안건위에서 관련 법안들을 모두 의결을 해서 상임위로 가기를 바랍니다마는 그렇지 않다면 저는 논의 끝에 표결을 하는 것이 마땅하다고 봅니다. "
n_id.45,o_id.27,이채익 위원,위원장님. 
n_id.46,o_id.28,조정위원장 홍익표,예. 
n_id.47,o_id.29,이채익 위원,"사실 제가 여야 간에 또 갈등을 유발하는 발언은 가능한 한 자제하려고 노력합니다마는 분명한 것은 지금 제헌국회 이래 법안소위를 이렇게 여야 합의 없이, 표현이 좀 과격할지는 몰라도, 날치기를 한 사례가 없습니다. 방금 윤재옥 위원님도 말씀했지만 어떻게 보면 집권 여당과 제1야당의 양 축 중의 한 축이 그것도 패스트트랙 정국하에서 상임위에 참여할 수 없는 그런 정국 상황에서 저희들은 상임위를 보이코트 하면서 설마 이렇게 법안소위까지 야당이 참석을 하지 않은 가운데 다수결로 처리한다고 하는 것은 상상조차를 하지 않았습니다, 사실은. 그래서 또 상임위에서 표결 처리하는 그 순간 안건조정위원회를 가동할 수밖에 없었던 그런 상황이 오늘까지 이렇게 왔습니다. "
n_id.48,o_id.29,이채익 위원,"그런데 앞으로 우리 여야 간에 정말 원만한 국회 의사일정 또 원만한 입법 활동을 위해서도 정말 이 시점이 굉장히 중요한, 우리 모두가 좀 진중해야 할 시점이 아닌가 이렇게 생각됩니다. 해서 거듭 말씀드립니다마는 오늘 3개 법안 중의 하나는 정말, 온 국민들이 오늘 안건조정위원회를 지켜보고 있습니다. 해서 오늘 또 무산이 된다면 우리 국회가 정말 지탄을 받을 수밖에 없다고 생각을 합니다. "
