new_id,ori_id,speaker,utterance
n_id.1,o_id.1,소위원장 추경호,의석을 정돈하여 주시기 바랍니다.
n_id.2,o_id.1,소위원장 추경호,성원이 되었으므로 제353회 국회(임시회) 기획재정위원회 제1차 조세소위원회를 개의하겠습니다.
n_id.3,o_id.1,소위원장 추경호,회의 시작에 앞서 우리 소위의 위원님 사·보임이 있어 안내 말씀을 드립니다. 그동안 수고해 주셨던 박광온 위원님이 사임하시고 대신 김종민 위원님께서 보임되셨습니다.
n_id.4,o_id.1,소위원장 추경호,"김종민 위원님, 인사말씀 간단히 해 주시기 바랍니다."
n_id.5,o_id.2,김종민 위원,민주당 김종민입니다.
n_id.6,o_id.2,김종민 위원,우리 선배님들 모시고 열심히 하겠습니다.
n_id.7,o_id.2,김종민 위원,감사합니다.
n_id.8,o_id.3,소위원장 추경호,감사합니다.
n_id.9,o_id.3,소위원장 추경호,바쁘신 와중에도 참석해 주신 위원님들과 관계 공무원 여러분께 감사의 말씀을 드립니다.
n_id.10,o_id.3,소위원장 추경호,오늘 회의 진행은 준비된 자료에 따라 전문위원의 설명과 정부 측 의견을 들은 후 위원님들의 질의·토론을 실시하고 합의가 이루어진 안건에 대해 의결하는 순서로 진행하도록 하겠습니다.
n_id.11,o_id.3,소위원장 추경호,"그리고 오늘 의사일정 제2항과 제5항은 이미 소위원회에 계류 중인 제1항, 제4항과 각각 입법 취지 및 내용이 유사하여 국회법 제58조제4항에 따라 간사 위원 간 협의를 거쳐 바로 소위원회로 회부하여 함께 심사한다는 점을 말씀드립니다."
n_id.12,o_id.3,소위원장 추경호,오늘 회의에 조세특례제한법을 대표발의하신 심기준 의원님께서 참석하셨습니다. 위원님들께서 양해하여 주신다면 심기준 의원님으로부터 법안의 내용에 대해 간단한 설명을 듣도록 하겠습니다.
n_id.13,o_id.3,소위원장 추경호,심기준 의원님.
n_id.14,o_id.4,심기준 의원,법안 취지가 준비가 안 됐는데......
n_id.15,o_id.5,소위원장 추경호,그러세요?
n_id.16,o_id.6,심기준 의원,예.
n_id.17,o_id.7,김광림 위원,결정적일 때 해요.
n_id.18,o_id.7,김광림 위원,  (웃음소리)
n_id.19,o_id.8,소위원장 추경호,그렇게 하겠습니다. 그러면 다음에 기회 되실 때 말씀하시기 바랍니다.
n_id.20,o_id.8,소위원장 추경호,감사합니다.
n_id.21,o_id.8,소위원장 추경호,그러면 의사일정에 들어가겠습니다.
