new_id,ori_id,speaker,utterance
n_id.1,o_id.1,소위원장 김동철,성원이 되었으므로 제364회 국회(정기회) 환경노동위원회 제4차 예산결산기금심사소위원회를 개의하겠습니다.
n_id.2,o_id.2,소위원장 김동철,"의사일정 제1항 고용노동부 소관 2019년도 예산안, 의사일정 제2항 고용노동부 소관 2019년도 기금운용계획안을 일괄하여 상정합니다. "
n_id.3,o_id.2,소위원장 김동철,오늘은 고용노동부 소관 예산안에 대한 심사를 계속 진행하겠습니다.
n_id.4,o_id.2,소위원장 김동철,심사 절차는 이전과 동일하며 사업별로 증액 또는 감액을 결정한 후 마지막에 최종적으로 정리된 내용을 확인한 다음 의결하도록 하겠습니다. 소위원회 산회 후 전체회의가 예정되어 있으므로 신속하게 심사가 진행될 수 있도록 협조해 주시기 바랍니다.
n_id.5,o_id.2,소위원장 김동철,그러면 심사에 들어가도록 하겠습니다.
n_id.6,o_id.2,소위원장 김동철,수석전문위원께서 지난 회의에 이어서 계속 설명해 주시기 바랍니다.
n_id.7,o_id.3,수석전문위원 김양건,수석전문위원입니다.
n_id.8,o_id.3,수석전문위원 김양건,"참고로 지난번까지 일반회계에서는 67억 증액, 감액이 11억 됐었고 고용보험기금은 72억 증액, 4억 감액, 참고로 말씀드리고요."
n_id.9,o_id.3,수석전문위원 김양건,137쪽 신중년 사회공헌활동 지원 관련해서 내역사업으로 신중년 사회공헌 사업에서 참여인력 단가 2000원을 4000원으로 하기 위해서 40억 증액입니다.
n_id.10,o_id.3,수석전문위원 김양건,이상입니다.
n_id.11,o_id.4,고용노동부차관 임서정,정부 의견은 마찬가지로 수용하면 특별한 말씀 안 드리고 그냥 수용 의견으로 말씀드리겠습니다. 
n_id.12,o_id.4,고용노동부차관 임서정,수용 의견입니다.
n_id.13,o_id.5,신보라 위원,그리고 여기에 내역사업 신설 관련한 의견이 좀 있어 가지고요.
n_id.14,o_id.6,고용노동부차관 임서정,"예, 말씀하십시오."
n_id.15,o_id.7,신보라 위원,"신중년 사회공헌활동 지원사업 중에 한국퇴직자총연합회 측에서 퇴직자를 활용해서 노인단체를 대상으로 세대 간 갈등해소 교육을 실시하는 세대간 갈등해소 교육 프로그램을 신설을 했으면 좋겠다는 의견이 있고, 그리고 이에 따라서 신중년 사회공헌활동 지원사업 내의 내역사업으로 신설 요청이 왔습니다. "
n_id.16,o_id.7,신보라 위원,그래서 이와 관련해서 증액 검토 의견인데요. 이에 관해서 정부 측에서도 의견을 말씀해 주시고 타당성이 있다고 보시면 증액을 검토해 주시면 좋겠습니다. 
n_id.17,o_id.7,신보라 위원,19년에 강사 100명 단위로 교육사업을 진행하고 규모는 4억 5000만 원 규모입니다.
n_id.18,o_id.8,고용노동부차관 임서정,"예, 알겠습니다. "
n_id.19,o_id.8,고용노동부차관 임서정,"위원님이 말씀하신 사업의 내용은 저희들이 봤을 때 타당한 것으로 보여지고, 다만 저희들 이미 나간 사업 중에 신중년 사회공헌활동 지원 내역 중에 신중년 경력형 일자리라는 게 있습니다. 그리고 혹시 그게 아니더라도 지역·산업맞춤형 일자리 공모사업으로 할 수 있을 것 같아서 그것을 부대의견으로 주시면 저희들이 기존의 내역사업을 신설하지 않더라도 말씀하신 사업들이 내년도에 사업이 이루어질 수 있도록 하겠습니다."
n_id.20,o_id.9,소위원장 김동철,그래요. 그러면 부대의견을 만들어서 그 사업을 하는 것으로 그렇게 하십시다.
n_id.21,o_id.10,고용노동부차관 임서정,예.
n_id.22,o_id.11,소위원장 김동철,다음 설명해 주십시오.
n_id.23,o_id.12,수석전문위원 김양건,다음은 139쪽 장애인고용관리지원 관련해서 발달장애인 근로지원인 500명 추가 증원을 위해서 91억 9300만 원을 증액하자는 의견이시고 그다음에 장애인근로자지원센터 설립을 위해서 7억 원을 증액하자는 의견이십니다.
n_id.24,o_id.12,수석전문위원 김양건,이상입니다.
n_id.25,o_id.13,고용노동부차관 임서정,정부 의견은 수용입니다.
n_id.26,o_id.14,소위원장 김동철,다른 의견 없으시면 다음으로 넘어가겠습니다. 
n_id.27,o_id.15,수석전문위원 김양건,다음은 143쪽 중증장애인 지역 맞춤형 취업지원 관련해서 동료지원가 사업의 기본운영비 단가를 20만 원에서 80만 원으로 인상하고 인력 증원 관련한 예산 15억 1500만 원을 증액하자는 의견이십니다. 
n_id.28,o_id.15,수석전문위원 김양건,이상입니다.
n_id.29,o_id.16,고용노동부차관 임서정,정부 의견은 수용입니다.
n_id.30,o_id.17,신보라 위원,그런데 단가 인상이 왜 이렇게 높은 거예요? 그간에는 매우 낮았던 거여서 현실화시키는 건가요?
n_id.31,o_id.18,고용노동부차관 임서정,"그렇습니다. 이게 어떻게 됐냐 하면 장애인 1인당 월평균 해서 4명을 서비스하도록 그렇게 되어 있는데 실제적으로 현장에서 보면 그것을 장애인 1명이, 제공하는 동료지원가가 장애인이거든요. 유사한 형태의 장애를 가진 사람이거나 아니면 장애를 갖고 있는 사람인데 이분이 4명의 장애인을 동시에 다 한다는 게 되게 쉽지 않기 때문에 담당하는 장애인력도 늘리고, 그래서 인력을 100명에서 400명으로 증원하시겠다는 말씀이고요. "
n_id.32,o_id.18,고용노동부차관 임서정,"단가도 1인당 지원하는 데 20만 원, 월로 치면 80만 원이 들어가지 않습니까? 그래서 단가도 늘려 주고 인원도 100명에서 400명으로 늘려서 동료장애인이 장애인을 제대로 된 지원을 할 수 있도록 하자 그런 취지로 예산을 증액 요청하셨습니다. 그래서 저희들은 그 방향이 맞다고 생각하고 수용하는 의견을 드리는 것입니다. "
n_id.33,o_id.19,소위원장 김동철,다음 설명해 주십시오. 
n_id.34,o_id.20,수석전문위원 김양건,"다음 145쪽 장애인 취업지원 관련해서 중증장애인 지원고용사업 중에 직무지도원 기간 연장을 위해서 27억 800만 원 증액, 그다음에 다른 위원님께서는 훈련수당, 직무지도원 수당 인상, 직무지도원 기간 연장 해서 56억 1000만 원을 증액하자는 의견이신데, 56억 1000만 원이 반영되면 위의 부분도 반영되는 것으로 이렇게 되겠습니다. "
n_id.35,o_id.20,수석전문위원 김양건,이상입니다.
n_id.36,o_id.21,고용노동부차관 임서정,정부 의견은 수용입니다.
n_id.37,o_id.22,신보라 위원,어떤 것을 수용......
n_id.38,o_id.23,송옥주 위원,아래 것으로요?
n_id.39,o_id.24,고용노동부차관 임서정,아래 것을 하게 되면 위에까지 포함한 형태가 되는 것입니다. 
n_id.40,o_id.25,수석전문위원 김양건,56억 1000만 원 증액......
n_id.41,o_id.26,소위원장 김동철,"예, 다음 넘어갑니다."
