new_id,ori_id,speaker,utterance,note
n_id.1,o_id.1,소위원장 김성태,의석을 정돈해 주시기 바랍니다.,
n_id.2,o_id.1,소위원장 김성태,성원이 되었으므로 제311회 국회(정기회) 환경노동위원회 제1차 법안심사소위원회를 개의하겠습니다.,
n_id.3,o_id.1,소위원장 김성태,"오늘 심사할 안건들은 심사 방법은 의사일정에 따라서 안건별로 심사하되 병합 심의가 필요한 것은, 같은 제명의 안건들은 일괄로 또 상정해서 병합 심사하도록 하겠습니다.",
n_id.4,o_id.1,소위원장 김성태,그리고 안건별 심사는 수석전문위원으로부터 전체회의에서 논의된 내용과 또 수석전문위원의 검토보고서를 반영해서 작성된 심사자료에 대한 설명을 듣고 정부 측의 의견을 청취한 다음 위원님들이 심사하는 순서로 진행하도록 하겠습니다.,
n_id.5,o_id.1,소위원장 김성태,심사가 끝나고 이견이 없으면 바로 의결까지 마치고 다음 의사일정으로 넘어가겠습니다.,
n_id.6,o_id.1,소위원장 김성태,그리고 우리 위원님들께서 잘 아시다시피 국회법 제57조7항 단서에 따르면 소위원회에서 법률안을 심사할 때에는 축조심사를 하도록 되어 있습니다. 따라서 수석전문위원실에서 작성한 소위 심사자료는 이러한 국회법의 취지를 반영하여 축조심사를 할 수 있도록 정리되어 있으므로 별도의 축조심사를 하지 아니하고 이를 중심으로 안건에 대한 항목별 심사를 하도록 하겠습니다.,
n_id.7,o_id.1,소위원장 김성태,오늘 심사할 안건의 목록은 배부하여 드린 의사일정을 참조해 주시기 바라겠습니다.,
n_id.8,o_id.1,소위원장 김성태,"그런데 지금 법안 심의에 바로 들어가기 전에, 오늘 의사일정에 잡혀진 내용대로 이렇게 진행을 하겠습니다마는, 우리 법안소위 심사위원 중에 최봉홍 의원님이 대표발의하고, 본 의원께서 아주 중요한 일정에도 불구하고 오늘 회의에 참석하고 있습니다.",
n_id.9,o_id.2,소위원장 김성태,"그래서 오늘 안건 4번, 자원의 절약과 재활용촉진에 관한 법률 일부개정법률안을 순서를 일부 변경해서 의사일정 제4항을 먼저 상정하여 심사하도록 하겠습니다.",
n_id.10,o_id.2,소위원장 김성태,의사일정 제4항에 대해서 수석전문위원 설명해 주시기 바랍니다.,
n_id.11,o_id.3,수석전문위원 천병호,수석전문위원입니다.,
n_id.12,o_id.3,수석전문위원 천병호,심사자료 77쪽을 봐 주시기 바랍니다.,
n_id.13,o_id.3,수석전문위원 천병호,"법안의 주요 내용을 말씀드리면,",
n_id.14,o_id.3,수석전문위원 천병호,"첫째로, 지방자치단체가 폐자원 회수에 필요한 재원을 확보하고 효율적으로 운용ㆍ관리하기 위하여 재활용가능자원관리특별회계를 설치할 수 있도록 하고 있습니다.",
n_id.15,o_id.3,수석전문위원 천병호,"두 번째로는, 재활용의무생산자가 자기 제품으로 인해 발생된 폐자원의 전부를 회수ㆍ재활용하거나 이에 대한 분담금을 재활용사업공제조합에 납부한 경우 재활용의무를 충실히 이행하였다고 하는 인증을 하고, 생산자로 하여금 자신의 제품에 인증표시를 할 수 있도록 하였습니다.",
